player_name,opponent,home,minutes,avg_points_last5,avg_rebounds_last5,avg_assists_last5,points,rebounds,assists,opp_avg_points_allowed,opp_avg_rebounds_allowed,opp_avg_assists_allowed
Bam Adebayo,MIL,0,35.0,20.2,8.6,4.0,24.0,7.0,1.0,13.353535353535353,4.848484848484849,2.808080808080808
Bam Adebayo,TOR,0,37.0,21.2,7.0,3.2,19.0,12.0,1.0,13.86046511627907,5.313953488372093,3.2906976744186047
Bam Adebayo,OKC,0,35.0,19.0,8.0,2.6,27.0,15.0,4.0,10.840425531914894,4.202127659574468,2.223404255319149
Bam Adebayo,BOS,1,34.0,20.8,9.6,2.0,22.0,12.0,4.0,11.329896907216495,4.494845360824742,2.3195876288659796
Bam Adebayo,BKN,0,37.0,21.2,10.2,2.2,18.0,8.0,1.0,12.61111111111111,5.144444444444445,2.511111111111111
Bam Adebayo,PHI,0,34.0,22.0,10.8,2.2,18.0,13.0,4.0,13.16304347826087,4.967391304347826,2.902173913043478
Bam Adebayo,CHI,0,35.0,20.8,12.0,2.8,23.0,8.0,4.0,14.773809523809524,5.166666666666667,3.3333333333333335
Bam Adebayo,SAS,0,38.0,21.6,11.2,3.4,30.0,12.0,9.0,12.597402597402597,5.142857142857143,3.4025974025974026
Bam Adebayo,CLE,1,38.0,22.2,10.6,4.4,21.0,9.0,3.0,13.145833333333334,4.78125,2.96875
Bam Adebayo,ORL,1,44.0,22.0,10.0,4.2,26.0,10.0,9.0,13.755555555555556,5.0,2.688888888888889
Bam Adebayo,BKN,0,37.0,23.6,10.4,5.8,17.0,16.0,4.0,12.61111111111111,5.144444444444445,2.511111111111111
Bam Adebayo,MIL,0,29.0,23.4,11.0,5.8,11.0,14.0,3.0,13.353535353535353,4.848484848484849,2.808080808080808
Bam Adebayo,POR,1,22.0,21.0,12.2,5.6,12.0,10.0,0.0,12.975903614457831,4.795180722891566,2.7349397590361444
Bam Adebayo,SAS,1,25.0,17.4,11.8,3.8,6.0,11.0,5.0,12.597402597402597,5.142857142857143,3.4025974025974026
Bam Adebayo,DEN,1,33.0,14.4,12.2,4.2,16.0,11.0,4.0,13.158536585365853,4.841463414634147,3.475609756097561
Bam Adebayo,LAL,0,31.0,12.4,12.4,3.2,10.0,4.0,5.0,12.316326530612244,4.520408163265306,2.5510204081632653
Bam Adebayo,POR,0,30.0,11.0,10.0,3.4,13.0,11.0,6.0,12.975903614457831,4.795180722891566,2.7349397590361444
Bam Adebayo,UTA,0,29.0,11.4,9.4,4.0,15.0,7.0,3.0,13.781609195402298,4.942528735632184,2.7471264367816093
Bam Adebayo,GSW,0,30.0,12.0,8.8,4.6,19.0,9.0,5.0,13.617283950617283,5.098765432098766,2.7777777777777777
Bam Adebayo,SAC,0,45.0,14.6,8.4,4.6,18.0,12.0,2.0,13.395604395604396,4.142857142857143,3.197802197802198
Bam Adebayo,UTA,1,26.0,15.0,8.6,4.2,4.0,8.0,2.0,13.781609195402298,4.942528735632184,2.7471264367816093
Bam Adebayo,IND,1,25.0,13.8,9.4,3.6,20.0,8.0,2.0,14.05813953488372,5.186046511627907,3.2906976744186047
Bam Adebayo,NOP,1,31.0,15.2,8.8,2.8,23.0,9.0,10.0,13.10752688172043,5.21505376344086,3.118279569892473
Bam Adebayo,HOU,0,34.0,16.8,9.2,4.2,12.0,10.0,1.0,12.158536585365853,4.414634146341464,2.475609756097561
Bam Adebayo,ATL,0,37.0,15.4,9.4,3.4,17.0,10.0,2.0,15.041666666666666,5.052083333333333,3.0520833333333335
Bam Adebayo,ORL,0,35.0,15.2,9.0,3.4,4.0,9.0,7.0,13.755555555555556,5.0,2.688888888888889
Bam Adebayo,BKN,1,31.0,15.2,9.2,4.4,23.0,7.0,7.0,12.61111111111111,5.144444444444445,2.511111111111111
Bam Adebayo,ORL,0,34.0,15.8,9.0,5.4,24.0,6.0,0.0,13.755555555555556,5.0,2.688888888888889
Bam Adebayo,OKC,1,36.0,16.0,8.4,3.4,17.0,10.0,1.0,10.840425531914894,4.202127659574468,2.223404255319149
Bam Adebayo,DET,0,41.0,17.0,8.4,3.4,15.0,8.0,3.0,13.333333333333334,4.777777777777778,3.0303030303030303
Bam Adebayo,TOR,1,35.0,16.6,8.0,3.6,21.0,16.0,5.0,13.86046511627907,5.313953488372093,3.2906976744186047
Bam Adebayo,CLE,1,36.0,20.0,9.4,3.2,16.0,13.0,6.0,13.145833333333334,4.78125,2.96875
Bam Adebayo,PHX,1,34.0,18.6,10.6,3.0,25.0,12.0,8.0,13.171052631578947,4.7894736842105265,3.276315789473684
Bam Adebayo,LAL,1,25.0,18.8,11.8,4.6,14.0,10.0,7.0,12.316326530612244,4.520408163265306,2.5510204081632653
Bam Adebayo,BOS,0,33.0,18.2,11.8,5.8,15.0,8.0,5.0,11.329896907216495,4.494845360824742,2.3195876288659796
Bam Adebayo,TOR,0,39.0,18.2,11.8,6.2,13.0,20.0,7.0,13.86046511627907,5.313953488372093,3.2906976744186047
Bam Adebayo,TOR,1,35.0,16.6,12.6,6.6,14.0,10.0,10.0,13.86046511627907,5.313953488372093,3.2906976744186047
Bam Adebayo,CHA,0,36.0,16.2,12.0,7.4,8.0,10.0,10.0,12.072289156626505,4.819277108433735,3.0843373493975905
Bam Adebayo,MIL,1,31.0,12.8,11.6,7.8,16.0,5.0,5.0,13.353535353535353,4.848484848484849,2.808080808080808
Bam Adebayo,DAL,1,38.0,13.2,10.6,7.4,19.0,11.0,5.0,13.263736263736265,5.0,2.769230769230769
Bam Adebayo,PHI,1,32.0,14.0,11.2,7.4,5.0,13.0,3.0,13.16304347826087,4.967391304347826,2.902173913043478
Bam Adebayo,IND,0,40.0,12.4,9.8,6.6,24.0,8.0,2.0,14.05813953488372,5.186046511627907,3.2906976744186047
Bam Adebayo,IND,0,39.0,14.4,9.4,5.0,30.0,11.0,7.0,14.05813953488372,5.186046511627907,3.2906976744186047
Bam Adebayo,DET,0,44.0,18.8,9.6,4.4,20.0,12.0,3.0,13.333333333333334,4.777777777777778,3.0303030303030303
Bam Adebayo,MIN,0,39.0,19.6,11.0,4.0,9.0,7.0,7.0,12.438202247191011,4.191011235955056,2.4157303370786516
Bam Adebayo,DEN,0,39.0,17.6,10.2,4.4,20.0,9.0,4.0,13.158536585365853,4.841463414634147,3.475609756097561
